"Accuracy","Regret","Method","Scenario","Data","Parameter"
0.582755555555556,107.486197026006,"Q-Learning","linear","train","70"
0.54,135.339747455282,"Q-Learning","linear","train","70"
0.548444444444444,113.333596674505,"Q-Learning","linear","train","70"
0.579377777777778,108.270115805349,"Q-Learning","linear","train","70"
0.599466666666667,109.689451719498,"Q-Learning","linear","train","70"
0.561066666666667,105.986667726463,"Q-Learning","linear","train","70"
0.588977777777778,104.39229884747,"Q-Learning","linear","train","70"
0.560177777777778,112.030842582344,"Q-Learning","linear","train","70"
0.556177777777778,144.242243408663,"Q-Learning","linear","train","70"
0.581777777777778,98.9350382672279,"Q-Learning","linear","train","70"
0.562577777777778,113.875207214014,"Q-Learning","linear","train","80"
0.549511111111111,115.744574268067,"Q-Learning","linear","train","80"
0.576622222222222,97.7508184505626,"Q-Learning","linear","train","80"
0.587911111111111,106.237108507514,"Q-Learning","linear","train","80"
0.589244444444444,88.8748691505245,"Q-Learning","linear","train","80"
0.580444444444444,126.629245819694,"Q-Learning","linear","train","80"
0.558311111111111,123.734535840343,"Q-Learning","linear","train","80"
0.552711111111111,154.421459828602,"Q-Learning","linear","train","80"
0.541066666666667,137.292447548754,"Q-Learning","linear","train","80"
0.605066666666667,98.3104355557121,"Q-Learning","linear","train","80"
0.556266666666667,126.312229819916,"Q-Learning","linear","train","90"
0.554844444444444,124.44119938068,"Q-Learning","linear","train","90"
0.541244444444444,127.898206749464,"Q-Learning","linear","train","90"
0.570222222222222,108.170274208632,"Q-Learning","linear","train","90"
0.554044444444444,94.8331748411827,"Q-Learning","linear","train","90"
0.5528,120.814103429056,"Q-Learning","linear","train","90"
0.561955555555556,121.494910442208,"Q-Learning","linear","train","90"
0.572177777777778,110.484223906295,"Q-Learning","linear","train","90"
0.551822222222222,115.365759455735,"Q-Learning","linear","train","90"
0.5528,110.969366118222,"Q-Learning","linear","train","90"
0.562222222222222,132.143907344689,"Q-Learning","linear","train","100"
0.571555555555556,105.953472616253,"Q-Learning","linear","train","100"
0.578933333333333,98.9920956831644,"Q-Learning","linear","train","100"
0.550133333333333,120.669165099887,"Q-Learning","linear","train","100"
0.5736,118.291205467799,"Q-Learning","linear","train","100"
0.565422222222222,106.931297181329,"Q-Learning","linear","train","100"
0.545422222222222,108.165836551193,"Q-Learning","linear","train","100"
0.564444444444444,98.3596194521043,"Q-Learning","linear","train","100"
0.5928,111.012368535273,"Q-Learning","linear","train","100"
0.578577777777778,122.64012797087,"Q-Learning","linear","train","100"
0.583377777777778,100.454530889182,"DWOLS","linear","train","10"
0.571911111111111,108.443872768127,"DWOLS","linear","train","10"
0.572888888888889,99.0958548497306,"DWOLS","linear","train","10"
0.611644444444444,94.8883377687848,"DWOLS","linear","train","10"
0.566488888888889,115.484839164934,"DWOLS","linear","train","10"
0.559822222222222,112.664288200457,"DWOLS","linear","train","10"
0.544355555555556,135.978343458746,"DWOLS","linear","train","10"
0.58,112.439257214128,"DWOLS","linear","train","10"
0.564088888888889,120.126770284185,"DWOLS","linear","train","10"
0.563644444444445,103.643855023792,"DWOLS","linear","train","10"
0.585333333333333,112.302686145015,"DWOLS","linear","train","20"
0.592444444444444,118.692936816838,"DWOLS","linear","train","20"
0.5992,84.3344577897319,"DWOLS","linear","train","20"
0.593422222222222,112.9538118177,"DWOLS","linear","train","20"
0.583644444444444,108.95864473168,"DWOLS","linear","train","20"
0.606844444444444,94.6339042041267,"DWOLS","linear","train","20"
0.634222222222222,85.3255624566065,"DWOLS","linear","train","20"
0.5552,125.412960765215,"DWOLS","linear","train","20"
0.581422222222222,98.5218281481173,"DWOLS","linear","train","20"
0.572266666666667,111.645442336567,"DWOLS","linear","train","20"
0.554666666666667,105.305312225718,"DWOLS","linear","train","30"
0.5584,111.010853076593,"DWOLS","linear","train","30"
0.538933333333333,123.204166953584,"DWOLS","linear","train","30"
