"Accuracy","Regret","Approach","Scenario","Data"
0.711822222222222,21.4619875819122,"DWOLS","linear interactions","train"
0.7264,20.0202192400509,"DWOLS","linear interactions","train"
0.719288888888889,20.5168037626465,"DWOLS","linear interactions","train"
0.723822222222222,20.5178251957435,"DWOLS","linear interactions","train"
0.714488888888889,21.2332402232294,"DWOLS","linear interactions","train"
0.729866666666667,18.8221884052343,"DWOLS","linear interactions","train"
0.724177777777778,20.667064028784,"DWOLS","linear interactions","train"
0.725333333333333,19.7480155519852,"DWOLS","linear interactions","train"
0.727288888888889,19.6624376757497,"DWOLS","linear interactions","train"
0.722933333333333,20.9339023823902,"DWOLS","linear interactions","train"
0.732444444444444,18.8404255086923,"DWOLS","linear interactions","train"
0.720088888888889,19.9147917857111,"DWOLS","linear interactions","train"
0.724266666666667,19.6383479818121,"DWOLS","linear interactions","train"
0.739022222222222,18.2463512870648,"DWOLS","linear interactions","train"
0.731022222222222,19.1883018049337,"DWOLS","linear interactions","train"
0.738577777777778,17.8040334775138,"DWOLS","linear interactions","train"
0.732177777777778,18.6386099243689,"DWOLS","linear interactions","train"
0.718044444444444,20.2244843410605,"DWOLS","linear interactions","train"
0.724355555555556,19.8714974931759,"DWOLS","linear interactions","train"
0.724533333333333,20.232267634698,"DWOLS","linear interactions","train"
0.722577777777778,19.908079147743,"DWOLS","linear interactions","train"
0.730755555555556,19.3298504267929,"DWOLS","linear interactions","train"
0.7136,21.409885789884,"DWOLS","linear interactions","train"
0.743555555555556,18.2598751546251,"DWOLS","linear interactions","train"
0.711466666666667,22.0264690384487,"DWOLS","linear interactions","train"
0.739911111111111,18.1021133585519,"DWOLS","linear interactions","train"
0.725688888888889,18.694714136207,"DWOLS","linear interactions","train"
0.723377777777778,20.2281625186364,"DWOLS","linear interactions","train"
0.728,19.3160110467278,"DWOLS","linear interactions","train"
0.716177777777778,21.1101596767907,"DWOLS","linear interactions","train"
0.741244444444444,18.0692681425315,"DWOLS","linear interactions","train"
0.716622222222222,21.4350354687123,"DWOLS","linear interactions","train"
0.720711111111111,19.973791120133,"DWOLS","linear interactions","train"
0.720088888888889,20.2835110407308,"DWOLS","linear interactions","train"
0.729244444444444,18.6688770520102,"DWOLS","linear interactions","train"
0.733066666666667,18.7886194020417,"DWOLS","linear interactions","train"
0.7256,19.4796235744027,"DWOLS","linear interactions","train"
0.732,18.5302310721942,"DWOLS","linear interactions","train"
0.717866666666667,20.9837393262478,"DWOLS","linear interactions","train"
0.720888888888889,20.0647218666385,"DWOLS","linear interactions","train"
0.716266666666667,20.5617483863474,"DWOLS","linear interactions","train"
0.712711111111111,21.6516144955468,"DWOLS","linear interactions","train"
